City,Date,Lat,Lng,Name,Popularity
"New Orleans, LA, US",2018-09-13,29.95167,-90.0784,"Jay-Z and Beyoncé at Mercedes-Benz Superdome (September 13, 2018)",0.723368
"Arlington, TX, US",2018-09-11,32.7479,-97.09291,"Beyoncé and Jay-Z at AT&T Stadium (September 11, 2018)",0.723101
"Miami, FL, US",2018-08-31,25.68701,-80.35159,"Beyoncé and Jay-Z at Hard Rock Stadium (August 31, 2018)",0.722258
"Orlando, FL, US",2018-08-29,28.5389,-81.40334,"Jay-Z and Beyoncé at Camping World Stadium (August 29, 2018)",0.722082
"Atlanta, GA, US",2018-08-26,33.75769,-84.40083,"Beyoncé and Jay-Z at Mercedes-benz Stadium (August 26, 2018)",0.72181
"Atlanta, GA, US",2018-08-25,33.75769,-84.40083,"Beyoncé and Jay-Z at Mercedes-benz Stadium (August 25, 2018)",0.721726
"Nashville, TN, US",2018-08-23,36.14876,-86.803,"Beyoncé and Jay-Z at Vanderbilt Stadium (August 23, 2018)",0.721573
"Columbia, SC, US",2018-08-21,33.9736,-81.02091,"Beyoncé and Jay-Z at Williams-Brice Stadium (August 21, 2018)",0.721431
"Orchard Park, NY, US",2018-08-18,42.77327,-78.78586,"Beyoncé and Jay-Z at New Era Field (August 18, 2018)",0.721187
"Columbus, OH, US",2018-08-16,40.00368,-83.01938,"Beyoncé and Jay-Z at Ohio Stadium (August 16, 2018)",0.721009
"Detroit, MI, US",2018-08-13,42.33848,-83.04593,"Beyoncé and Jay-Z at Ford Field (August 13, 2018)",0.720679
"Chicago, IL, US",2018-08-11,41.86611,-87.61729,"Beyoncé and Jay-Z at Soldier Field (August 11, 2018)",0.720537
"Chicago, IL, US",2018-08-10,41.86611,-87.61729,"Beyoncé and Jay-Z at Soldier Field (August 10, 2018)",0.720474
"Minneapolis, MN, US",2018-08-08,44.9714,-93.2545,"Beyoncé and Jay-Z at U.S. Bank Stadium (August 8, 2018)",0.720312
"Foxborough, MA, US",2018-08-05,42.09119,-71.26689,"Beyoncé and Jay-Z at Gillette Stadium (August 5, 2018)",0.720049
"East Rutherford, NJ, US",2018-08-03,40.81421,-74.07369,"Beyoncé and Jay-Z at MetLife Stadium (August 3, 2018)",0.71991
"East Rutherford, NJ, US",2018-08-02,40.81421,-74.07369,"Beyoncé and Jay-Z at MetLife Stadium (August 2, 2018)",0.719839
"Philadelphia, PA, US",2018-07-30,39.90077,-75.16753,"Beyoncé and Jay-Z at Lincoln Financial Field (July 30, 2018)",0.719597
"Landover, MD, US",2018-07-28,38.90699,-76.86545,"Beyoncé and Jay-Z at FedEx Field (July 28, 2018)",0.719451
"Landover, MD, US",2018-07-27,38.90699,-76.86545,"Beyoncé and Jay-Z at FedEx Field (July 27, 2018)",0.719347
"Cleveland, OH, US",2018-07-25,41.50522,-81.6985,"Beyoncé and Jay-Z at Firstenergy Stadium (July 25, 2018)",0.719177
"Nice, France",2018-07-17,43.703893,7.1908944,"Jay-Z and Beyoncé at Allianz Riviera (July 17, 2018)",0.718473
"Saint-Denis, France",2018-07-15,48.9315523,2.3563278,"Beyoncé and Jay-Z at Stade De France (July 15, 2018)",0.718333
"Saint-Denis, France",2018-07-14,48.9315523,2.3563278,"Beyoncé and Jay-Z at Stade De France (July 14, 2018)",0.718275
"Barcelona, Spain",2018-07-11,41.3833,2.18333,"Beyoncé and Jay-Z at Olympic Arena (July 11, 2018)",0.718029
"Rome, Italy",2018-07-08,41.9402651,12.4809055,"Beyoncé and Jay-Z at Stadio Olimpico (July 8, 2018)",0.717768
"Milan, Italy",2018-07-06,45.4780544,9.1238987,"Jay-Z and Beyoncé at San Siro (July 6, 2018)",0.717601
"Cologne, Germany",2018-07-03,50.9378296,6.8626787,"Beyoncé and Jay-Z at RheinEnergieStadion (July 3, 2018)",0.71733
"Warsaw, Poland",2018-06-30,52.239469,21.0458004,"Beyoncé and Jay-Z at National Stadium (Stadion Narodowy) (June 30, 2018)",0.717136
"Berlin, Germany",2018-06-28,52.51447,13.24323,"Jay-Z and Beyoncé at Olympiastadion (June 28, 2018)",0.717012
"Solna, Sweden",2018-06-25,59.3688791,18.0084334,"Beyoncé and Jay-Z at Friends Arena (June 25, 2018)",0.716742
"Copenhagen, Denmark",2018-06-23,55.6667,12.5833,"Beyoncé and Jay-Z at Parken Stadium (June 23, 2018)",0.716597
"Amsterdam, Netherlands",2018-06-20,52.3143277,4.9409269,"Jay-Z and Beyoncé at Amsterdam ArenA (June 20, 2018)",0.71627
"Amsterdam, Netherlands",2018-06-19,52.3143277,4.9409269,"Jay-Z and Beyoncé at Amsterdam ArenA (June 19, 2018)",0.716128
"London, UK",2018-06-16,51.5432665,-0.0124774,"Beyoncé and Jay-Z at London Stadium (June 16, 2018)",0.715824
"London, UK",2018-06-15,51.5432665,-0.0124774,"Beyoncé and Jay-Z at London Stadium (June 15, 2018)",0.715727
"Manchester, UK",2018-06-13,53.4829255,-2.2044997,"Beyoncé and Jay-Z at Etihad Stadium (June 13, 2018)",0.715479
"Glasgow, UK",2018-06-09,55.8245708,-4.2573604,"Beyoncé and Jay-Z at Hampden Park (June 9, 2018)",0.715079
"Cardiff, UK",2018-06-06,51.4788837,-3.1786871,"Beyoncé and Jay-Z at Principality Stadium (June 6, 2018)",0.714788
"Indio, CA, US",2018-04-20,33.68233,-116.23892,Coachella 2018,0.89621
"Indio, CA, US",2018-04-13,33.68233,-116.23892,Coachella 2018,0.89621
"Nashville, TN, US",2016-10-02,36.1661644,-86.7717047,"Beyoncé at Nissan Stadium (October 2, 2016)",0.700427
"Philadelphia, PA, US",2016-09-29,39.9007654,-75.1675344,"Beyoncé at Lincoln Financial Field (September 29, 2016)",0.700148
"Atlanta, GA, US",2016-09-26,33.7561605,-84.3996192,"Beyoncé at Georgia Dome (September 26, 2016)",0.699858
"New Orleans, LA, US",2016-09-24,29.9516701,-90.0784038,"Beyoncé at Mercedes-Benz Superdome (September 24, 2016)",0.699676
"Houston, TX, US",2016-09-22,29.68593,-95.40334,"Beyoncé at NRG Stadium (September 22, 2016)",0.695407
"Santa Clara, CA, US",2016-09-17,37.4046362,-121.9692967,"Beyoncé at Levi's Stadium (September 17, 2016)",0.694649
"Los Angeles, CA, US",2016-09-14,34.0732204,-118.2409737,"Beyoncé at Dodger Stadium (September 14, 2016)",0.694408
"East Rutherford, NJ, US",2016-09-07,40.8142092,-74.0736902,"Beyoncé at MetLife Stadium (September 7, 2016)",0.693741
"Barcelona, Spain",2016-08-03,41.3634164,2.1570941,"Beyoncé at Estadi Olímpic Lluís Companys (August 3, 2016)",0.690349
"Brussels, Belgium",2016-07-31,50.8953573,4.33338,"Beyoncé at Stade Roi Baudouin / Koning Boudewijn Stadion (July 31, 2016)",0.698991
