'Year', 'Rating', 'Title', 'Artist'
'1942', '1', 'Moonlight Cocktail', 'The Glenn Miller Orchestra'
'1942', '2', '(I’ve Got a Gal In) Kalamazoo', 'The Glenn Miller Orchestra'
'1942', '3', 'There Are Such Things', 'Tommy Dorsey and His Orchestra'
'1942', '4', 'White Christmas', 'Bing Crosby'
'1942', '5', ' I Had the Craziest Dream', 'Harry James and His Orchestra'
'1942', '6', 'Sleepy Lagoon', 'Harry James and His Orchestra'
'1942', '7', ' Tangerine', 'Jimmy Dorsey and His Orchestra'
'1942', '8', ' Jingle Jangle Jingle', 'Kay Kyser and His Orchestra'
'1942', '9', ' Blues in the Night (My Mama Done Tol’ Me)', 'Woody Herman and His Orchestra'
'1942', '10', ' A String of Pearls', 'The Glenn Miller Orchestra'
'1942', '11', ' Don’t Sit Under the Apple Tree (With Anyone else But Me)', 'The Glenn Miller Orchestra'
'1942', '12', ' Who Wouldn’t Love You', 'Kay Kyser and His Orchestra</p>'
'1942', '13', ' Jersey Bounce', 'Benny Goodman and His Orchestra'
'1942', '14', ' Serenade in Blue', 'The Glenn Miller Orchestra'
'1942', '15', ' When the Lights Go On Again (All Over the World)', 'Vaughn Monroe</p>'
'1942', '16', ' Praise the Lord and Pass the Ammunition!', 'Kay Kyser and His Orchestra'
'1942', '17', ' I Don’t Want to Walk without You', 'Harry James and His Orchestra'
'1942', '18', ' My Devotion', 'Charlie Spivak and His Orchestra</p>'
'1942', '19', ' He Wears a Pair of Silver Wings', 'Kay Kyser and His Orchestra'
'1942', '20', ' I Said No!', 'Alvino Rey and His Orchestra</p>'
'1942', '21', ' Mister Five', 'Five'
'1942', '22', ' Der Fuehrer’s Face', 'Spike Jones and His City Slickers'
'1942', '23', ' Just As Though You Were Here', 'Tommy Dorsey and His Orchestra'
'1942', '24', ' Deep in the Heart of Texas', 'Alvino Rey and His Orchestra'
'1942', '25', ' I Left My Heart At the Stage Door Canteen', 'Swing and Sway with Sammy Kaye'
'1942', '26', ' Deep in the Heart of Texas', 'Bing Crosby'
'1942', '27', ' Remember Pearl Harbor', 'Swing and Sway with Sammy Kaye'
'1942', '28', ' One Dozen Roses', 'Harry James and His Orchestra'
'1942', '29', ' Jingle Jangle Jingle', 'The Merry Macs'
'1942', '30', ' Blues in the Night', 'Dinah Shore'
'1942', '31', ' Blues in the Night (My Mama Done Tol’ Me) (Parts 1 &amp; 2)', 'Jimmie Lunceford and His Orchestra'
'1942', '32', ' Idaho', 'Benny Goodman and His Orchestra'
'1942', '33', ' Amen', 'Abe Lyman and His Californians'
'1942', '34', ' Somebody Else Is Taking My Place', 'Russ Morgan</p>'
'1942', '35', ' Somebody Else Is Taking My Place', 'Benny Goodman and His Orchestra'
'1942', '36', ' Strictly Instrumental', 'Harry James and His Orchestra</p>'
'1942', '37', ' My Devotion', 'Vaughn Monroe</p>'
'1942', '38', ' Amen', 'Woody Herman and His Orchestra</p>'
'1942', '39', ' Take Me', 'Tommy Dorsey and His Orchestra'
'1942', '40', ' Strip Polka', 'Kay Kyser and His Orchestra'
'1942', '42', ' Strip Polka', 'The Andrews Sisters'
'1942', '43', ' Mr Five', 'Five'
'1942', '44', ' Sweet Eloise', 'The Glenn Miller Orchestra</p>'
'1942', '45', ' Skylark', 'The Glenn Miller Orchestra</p>'
'1942', '46', ' Juke Box Saturday Night', 'The Glenn Miller Orchestra</p>'
'1942', '47', ' Everything I Love', 'The Glenn Miller Orchestra'
'1942', '48', ' Strip Polka', 'Johnny Mercer'
'1942', '49', ' Cow-Cow Boogie', 'Freddie Slack and His Orchestra</p>'
'1942', '50', ' Deep in the Heart of Texas', 'Horace Heidt and His Musical Knights'
'1942', '51', ' (There’ll Be Bluebirds Over) The White Cliffs of Dover', 'Kay Kyser and His Orchestra'
'1942', '52', ' One Dozen Roses', 'Dinah Shore'
'1942', '53', ' Praise the Lord and Pass the Ammunition!', 'The Merry Macs'
'1942', '54', ' Miss You', 'Dinah Shore'
'1942', '55', ' Rose O’Day (The Filla-Ga-Dusha Song)', 'Kate Smith</p>'
'1942', '56', ' One Dozen Roses', 'Glen Gray and the Casa Loma Orchestra'
'1942', '57', ' Johnny Doughboy Found a Rose in Ireland', 'Kay Kyser and His Orchestra'
'1942', '58', ' This Is No Laughing Matter', 'Charlie Spivak and His Orchestra'
'1942', '59', ' Strip Polka', 'Alvino Rey and His Orchestra'
'1942', '60', ' I Left My Heart At the Stage Door Canteen', 'Charlie Spivak and His Orchestra</p>'
'1942', '61', ' Tonight We Love', 'Freddy Martin and His Orchestra'
'1942', '62', ' Blues in the Night (My Mama Done Tol’ Me)', 'Cab Calloway'
'1942', '63', ' A Zoot Suit (For My Sunday Gal)', 'Kay Kyser and His Orchestra</p>'
'1942', '64', ' At Last', 'The Glenn Miller Orchestra'
'1942', '65', ' Miss You', 'Bing Crosby'
'1942', '66', ' I Don’t Want to Walk without You', 'Bing Crosby'
'1942', '67', ' Manhattan Serenade', 'Harry James and His Orchestra'
'1942', '68', ' Johnny Doughboy Found a Rose in Ireland', 'Guy Lombardo and His Royal Canadians'
'1942', '69', ' Jersey Bounce', 'Jimmy Dorsey and His Orchestra'
'1942', '70', ' I Remember You', 'Jimmy Dorsey and His Orchestra'
'1942', '71', ' He’s My Guy', 'Harry James and His Orchestra'
'1942', '72', ' (There’ll Be Bluebirds Over) The White Cliffs of Dover', 'Kate Smith'
'1942', '73', ' Always in My Heart', 'The Glenn Miller Orchestra'
'1942', '74', ' Daybreak', 'Tommy Dorsey and His Orchestra'
'1942', '75', ' Dearly Beloved', 'Dinah Shore</p>'
'1942', '76', ' Take Me', 'Benny Goodman and His Orchestra'
'1942', '77', ' My Devotion', 'Jimmy Dorsey and His Orchestra'
'1942', '78', ' I Said No', 'Jimmy Dorsey and His Orchestra'
'1942', '79', ' When the Lights Go On Again (All Over the World)', 'Lucky Millinder and His Orchestra'
'1942', '80', ' Brazil (Aquarela Do Brasil)', 'Jimmy Dorsey and His Orchestra'
'1942', '81', ' Trav’lin’ Light', 'Paul Whiteman &amp; His Orchestra</p>'
'1942', '82', ' My Devotion', 'The Four King Sisters</p>'
'1942', '83', ' Be Careful It’s My Heart', 'Bing Crosby'
'1942', '84', ' Johnny Doughboy Found a Rose in Ireland', 'Kenny Baker'
'1942', '85', ' Deep in the Heart of Texas', 'The Merry Macs'
'1942', '86', ' Dearly Beloved', 'Johnnie Johnston</p>'
'1942', '87', ' I Don’t Want to Walk without You', 'Dinah Shore'
'1942', '88', ' Manhattan Serenade', 'Tommy Dorsey and His Orchestra'
'1942', '89', 'Be Careful It’s My Heart', 'Tommy Dorsey and His Orchestra'
'1942', '90', ' American Patrol', 'The Glenn Miller Orchestra</p>'
'1942', '91', ' The Story of a Starry Night', 'The Glenn Miller Orchestra</p>'
'1942', '92', ' Idaho', 'Alvino Rey and His Orchestra'
'1942', '93', ' (There’ll Be Blue Birds Over) The White Cliffs of Dover', 'Swing and Sway with Sammy Kaye'
'1942', '94', ' Skylark', 'Harry James and His Orchestra'
'1942', '95', ' How About You?', 'Tommy Dorsey and His Orchestra'
'1942', '96', ' By the Light of the Silv’ry Moon', 'Ray Noble and His Orchestra'
'1942', '97', ' A Touch of Texas', 'Freddy Martin and His Orchestra'
'1942', '98', ' White Christmas', 'Gordon Jenkins and His Orchestra'
