,Rank,Artist,Song,Year,Artist_ID
0,1,Glenn Miller,Chattanooga Choo Choo,1941,2aAHdB5HweT3mFcRzm0swc
1,2,Sammy Kaye,Daddy,1941,54LBMS0P9mMkhfxsp73k1D
2,3,Artie Shaw,Stardust,1941,5wam12nGWDBIrLDV78TNSF
3,4,The Andrews Sisters,Boogie Woogie Bugle Boy,1941,2NCGI6dLTxLdI9XHdv7QfM
4,5,Jimmy Dorsey,Amapola (Pretty Little Poppy),1941,3xPpQCRiTBxgmL4PD8J5ek
5,6,Jimmy Dorsey,Green Eyes,1941,3xPpQCRiTBxgmL4PD8J5ek
6,7,Glenn Miller,Elmer's Tune,1941,2aAHdB5HweT3mFcRzm0swc
7,8,Duke Ellington,Take The 'A' Train,1941,4F7Q5NV6h5TSwCainz8S5A
8,9,Billie Holiday,God Bless the Child,1941,1YzCsTRb22dQkh9lghPIrp
9,10,Jimmy Dorsey,Maria Elena,1941,3xPpQCRiTBxgmL4PD8J5ek
10,11,Horace Heidt,I Don't Want to Set the World On Fire,1941,71EDwhmGGw7PlLGTm99jCK
11,12,Freddy Martin,Piano Concerto in B Flat,1941,2OEK1q1OHoeR0Dc3WUgeIc
12,13,The Ink Spots,I Don't Want to Set the World On Fire,1941,5bOsFzuJ6QZMr86ezC4oXY
13,14,Jimmy Dorsey,Blue Champagne,1941,3xPpQCRiTBxgmL4PD8J5ek
14,15,Glenn Miller,Song of the Volga Boatmen,1941,2aAHdB5HweT3mFcRzm0swc
15,16,Jimmy Dorsey,My Sister & I,1941,3xPpQCRiTBxgmL4PD8J5ek
16,17,Harry James,You Made Me Love You,1941,5MpELOfAiq7aIBTij30phD
17,18,Tommy Dorsey & Frank Sinatra,Dolores,1941,54FDp72KY4nwzrERQY5am1
18,19,Glenn Miller,You & I,1941,2aAHdB5HweT3mFcRzm0swc
19,20,Benny Goodman,There'll Be Some Changes Made,1941,1pBuKaLHJlIlqYxQQaflve
20,21,The Sons of the Pioneers,Cool Water,1941,1gfIkFZ4hIs2gETkRVaY68
21,22,Xavier Cugat,Perfidia (Tonight),1941,44w5lL6V07MCIaEX3aba8R
22,23,Jimmy Dorsey,I Hear A Rhapsody,1941,3xPpQCRiTBxgmL4PD8J5ek
23,24,Guy Lombardo,And the Band Played On,1941,5u5O35ppRJaOpOrU1CeKEW
24,25,Vera Lynn,A Nightingale Sang in Berkeley Square,1941,2rJkmlVHePMo2gk0InTZRS
25,26,Dick Robertson,Ferryboat Serenade,1941,5mQDbyXYCFjx4XqADykXXg
26,27,The Jesters,It's a Great Day for the Irish,1941,0VB1seSRe8CTJZAFosZZVC
28,29,Judy Garland,It's a Great Day for the Irish,1941,0hItVPjwJLVZrFqOyIsxPf
29,30,Francisco Alves,Canta Brasil,1941,7pjGFyFFzIThPQNEfLRdiP
30,31,George Formby,Bless 'em All (The Service Song),1941,4Oj1cFCMX4LgHuNsgQJBr8
31,32,Al Bowlly,When That Man is Dead & Gone,1941,6l3iPTof4l2D75Wawq9w7R
32,33,Ernest Tubb,Walking the Floor Over You,1941,7gS1Yv0RynyzKX5ICtKIhS
33,34,Glenn Miller,Anvil Chorus,1941,2aAHdB5HweT3mFcRzm0swc
34,35,Glenn Miller,I Dreamt I Dwelt In Harlem,1941,2aAHdB5HweT3mFcRzm0swc
35,36,The Andrews Sisters,I'll Be With You in Apple Blossom Time,1941,2NCGI6dLTxLdI9XHdv7QfM
36,37,Charlie Barnet,I Hear A Rhapsody,1941,4SPws2VXOmZIiRTp75mzsb
37,38,Bing Crosby,Dolores,1941,6ZjFtWeHP9XN7FeKSUe80S
38,39,Artie Shaw,Dancing in the Dark,1941,5wam12nGWDBIrLDV78TNSF
39,40,Artie Shaw,Summit Ridge Drive,1941,5wam12nGWDBIrLDV78TNSF
40,41,Wayne King,You Are My Sunshine,1941,5edoNq8PUPq44168sgGr6R
41,42,Tommy Dorsey & Frank Sinatra,This Love of Mine,1941,54FDp72KY4nwzrERQY5am1
42,43,Jimmy Dorsey,High On A Windy Hill,1941,3xPpQCRiTBxgmL4PD8J5ek
43,44,Joe Loss Orchestra,V' Stands For Victory,1941,3OixquvLvKBdSUJlYDPbxU
44,45,Carlos Galhardo,Ala Li La,1941,60T8gH8DDda6HA4MlUgam3
45,46,Tommy Dorsey,Yes Indeed,1941,4WoGga7UeRcmjD4ufif4nG
46,47,Big Maceo Merriweather,Worried Life Blues,1941,6MaCG0Ef8DahWf6Mn0Ikve
47,48,Gene Krupa,High On A Windy Hill,1941,2YODXXiVE8ABc0TfihLOFj
48,49,Jimmy Dorsey,Yours,1941,3xPpQCRiTBxgmL4PD8J5ek
49,50,Wayne King,Maria Elena,1941,5edoNq8PUPq44168sgGr6R
50,51,Horace Heidt,G'bye Now,1941,71EDwhmGGw7PlLGTm99jCK
51,52,Freddy Martin,The Hut Sut Song (A Swedish Serenade),1941,2OEK1q1OHoeR0Dc3WUgeIc
52,53,Tommy Dorsey & Frank Sinatra,Oh Look At Me Now,1941,54FDp72KY4nwzrERQY5am1
53,54,Gene Krupa,It All Comes Back To Me Now,1941,2YODXXiVE8ABc0TfihLOFj
54,55,Bing Crosby,Shepherd's Serenade,1941,6ZjFtWeHP9XN7FeKSUe80S
55,56,Tommy Dorsey,Let's Get Away From It All,1941,4WoGga7UeRcmjD4ufif4nG
56,57,Gene Krupa,Let me off uptown,1941,2YODXXiVE8ABc0TfihLOFj
57,58,Washboard Sam,She Belongs to The Devil,1941,7lTZRLYcjbgGHXCA1VCYDT
58,59,Dorival Caymmi,O Mar,1941,7zsxdMsODmHKTbTB00t9wS
59,60,Glenn Miller,Adios,1941,2aAHdB5HweT3mFcRzm0swc
60,61,Tommy Dorsey & Frank Sinatra,Two in Love,1941,54FDp72KY4nwzrERQY5am1
61,62,Jimmy Dorsey,Jim,1941,3xPpQCRiTBxgmL4PD8J5ek
62,63,Harry James,By the Sleepy Lagoon,1941,5MpELOfAiq7aIBTij30phD
63,64,Ray Noble,By the Light of the Silvery Moon,1941,6u5MW3QnHHBZ8FwzHq12DD
64,65,Horace Heidt,The Hut Sut Song (A Swedish Serenade),1941,71EDwhmGGw7PlLGTm99jCK
65,66,Kay Kyser,"Alexander the Swoose (Half Swan, Half Goose)",1941,23NUp4EWSmMANtTosuwrGS
66,67,Xavier Cugat,Green Eyes,1941,44w5lL6V07MCIaEX3aba8R
67,68,Xavier Cugat,"Chica, Chica, Boom, Chic",1941,44w5lL6V07MCIaEX3aba8R
68,69,Joel & Gaucho,Aurora,1941,1pqT6NrsWFo1W01sOP1rPX
69,70,Jay McShann,Vine Street Blues,1941,1qZnWtvzKVV0lJQZBapchU
70,71,Glenn Miller,I Know Why,1941,2aAHdB5HweT3mFcRzm0swc
71,72,Tommy Dorsey,Do I Worry?,1941,4WoGga7UeRcmjD4ufif4nG
72,73,The Andrews Sisters,Bounce Me Brother,1941,2NCGI6dLTxLdI9XHdv7QfM
73,74,Harry James,You Made Me Love You (I Didn't Want to Do It),1941,5MpELOfAiq7aIBTij30phD
74,75,Pedro Vargas,Besame Mucho,1941,1ZsL2cs2MYJKqwkVwdGtOd
75,76,Kay Kyser,(Lights Out) Til Reveille,1941,23NUp4EWSmMANtTosuwrGS
76,77,Tony Martin,The Last Time I Saw Paris,1941,0EFbbYqV2BDlRwk7A1SGtb
77,78,Tommy Tucker,I Don't Want to Set the World On Fire,1941,3Hu7yAx1kVULnXjSznYZRf
78,79,Guy Lombardo,Intermezzo (Souvenir De Vienne),1941,5u5O35ppRJaOpOrU1CeKEW
79,80,Anjos do Inferno,Voce Ja Foi a Bahia?,1941,6FOhbY2zC8BeJcpU19tVcv
80,1, The Glenn Miller Orchestra, Moonlight Cocktail,1942,7yJ74d8IUMgW1u8CHgxU6U
81,2, The Glenn Miller Orchestra, (I've Got a Gal In) Kalamazoo,1942,7yJ74d8IUMgW1u8CHgxU6U
82,3, Tommy Dorsey and His Orchestra, There Are Such Things,1942,10nZMl7o7nE6EEXqFT0UUK
