,Rank,Artist,Song,Year,Artist_ID,Genre,Followers,Img
1178,1,Bobby Lewis,Tossin' And Turnin',1961,6KfBWaX13etjtEZ4d9aTWW,unassigned,949,https://i.scdn.co/image/04a0bc430aa69b40c9c3f2760d5f0f96de70ab03
1179,2,Patsy Cline,I Fall To Pieces,1961,7dNsHhGeGU5MV01r06O8gK,adult standards,281084,https://i.scdn.co/image/c8eb3a2d38f77a5f9e752036dec6c21f307fbfe2
1180,3,Highwaymen,Michael,1961,6e7QpHYqEiyJGiM98IysLa,nashville sound,172026,https://i.scdn.co/image/d407eb3489b8f54ccdc0fb7419bcc8fabf1a2788
1181,4,Roy Orbison,Cryin',1961,0JDkhL4rjiPNEp92jAgJnS,adult standards,485612,https://i.scdn.co/image/684f6d45078b404e6b82e2c84f82859035dd3e3c
1182,5,Del Shannon,Runaway,1961,3c8WoNjBfyLJhFObE6RHgs,adult standards,74020,https://i.scdn.co/image/983c727b6ec616b62d2ce5a8a48e0e4bdef59b6c
1183,6,Jive Five,My True Story,1961,2HWsf577KqaPhXyBFzei7L,doo-wop,3832,https://i.scdn.co/image/33e27f5762482fcc7f2a66e64640482c788ca851
1184,7,Chubby Checker,Pony Time,1961,7qQJQ3YtcGlqaLg5tcypN2,adult standards,92037,https://i.scdn.co/image/4b719e0ecea3eb92d294b838db79874318f35da1
1185,8,String-a-longs,Wheels,1961,7CG3fjmCcZHXOnxYrpgE6W,surf music,542,https://i.scdn.co/image/30d9579d1dafb1d5da23bb09972e95caf29bff01
1186,9,Dee Clark,Raindrops,1961,6PyZY3e7wgYgRdegqvqhSo,brill building pop,2842,https://i.scdn.co/image/e6e42e7f712c00b98ef21dd2e77921fcb6d98d5e
1187,10,Joe Dowell,Wooden Heart (Muss I Denn),1961,1b5taabb9eKSbyzVFVtEjh,unassigned,92,https://i.scdn.co/image/4fed547ffb301e81c260d0568f2682e41891662b
1188,11,Lawrence Welk,Calcutta,1961,2GMH35k5oLCjzYpn5HbaD8,adult standards,5796,https://i.scdn.co/image/15900f264ca29b0af45843c36ba37478c52eee65
1189,12,Bobby Vee,Take Good Care Of My Baby,1961,5MX2l6ewjOaeWn1lYNhzlO,adult standards,61568,https://i.scdn.co/image/b7b3441a818ee3b20644e656b721b7fc251e7744
1190,13,Roy Orbison,Running Scared,1961,0JDkhL4rjiPNEp92jAgJnS,adult standards,485612,https://i.scdn.co/image/684f6d45078b404e6b82e2c84f82859035dd3e3c
1191,14,The Shirelles,Dedicated To The One I Love,1961,0x83OBqixqdCHnStP5VMcn,adult standards,92177,https://i.scdn.co/image/9a51fe462a957dfe6b25a65a08bafcfcbbf5e673
1192,15,Mar-keys,Last Night,1961,4EYRKWX3RvHihDHDr8TocR,memphis soul,8924,https://i.scdn.co/image/21eb36ac24f6d3e92b95fbd642a71c8633869aef
1193,16,Shirelles,(Will You Love Me) Tomorrow,1961,0x83OBqixqdCHnStP5VMcn,adult standards,92177,https://i.scdn.co/image/9a51fe462a957dfe6b25a65a08bafcfcbbf5e673
1194,17,Ferrante and Teicher,Exodus,1961,17rSwcIT9qu1OybU1lReJB,adult standards,6670,https://i.scdn.co/image/965a500f73b304aee9c1eed182f80651eb4126df
1195,18,Connie Francis,Where The Boys Are,1961,3EY5DxGdy7x4GelivOjS2Q,adult standards,103821,https://i.scdn.co/image/8bdcb1cc65a0ca1d54018e308bd2471e9c4820ce
1196,19,Ray Charles,Hit The Road Jack,1961,1eYhYunlNJlDoQhtYBvPsi,adult standards,1241577,https://i.scdn.co/image/20c30e31f796ecb901ffb5acca6ca3d77fd5341b
1197,20,Sue Thompson,Sad Movies (Make Me Cry),1961,4KCnuZQWRl9FEwAcduZhP9,brill building pop,5053,https://i.scdn.co/image/161387d2e557627e30657ab7b16e24a452ce938f
1198,21,Ernie K-Doe,Mother-In-Law,1961,3ybBNyjii40yY104IZkcly,louisiana blues,2925,https://i.scdn.co/image/8588304ea9adba28faac323b76b0b636fa9c0f1c
1199,22,Dovells,Bristol Stomp,1961,6LaraO4gcDKWw0fwIOTodm,doo-wop,2653,https://i.scdn.co/image/123433593a74acd8abe562aa125b8c2dcc2ebdbe
1200,23,Ricky Nelson,Travelin' Man,1961,73sSFVlM6pkweLXE8qw1OS,adult standards,110130,https://i.scdn.co/image/99ee90438c46d52c9007866740f5504834d20f99
1201,24,Miracles,Shop Around,1961,6TKOZZDd5uV5KnyC5G4MUt,brill building pop,428229,https://i.scdn.co/image/6e1b939d6fcf5acf070fb266729458171eb46edf
1202,25,Brook Benton,The Boll Weevil Song,1961,2ttm3uT0N1RN7vwKv1pQgh,adult standards,19764,https://i.scdn.co/image/4ada684f556acdc024c09dac0e172d92a3f94a5a
1203,26,Gene Mcdaniels,A Hundred Pounds Of Clay,1961,6I7tqjEzznFPrardDfvsvq,unassigned,1099,https://i.scdn.co/image/00e540eaf1f1fac8d9c0df0b89e03f8afcd89c5f
1204,27,Dick and Deedee,The Mountain's High,1961,6XIT5sGHOtxVgqtSnMCYZ6,hollywood,12077,https://i.scdn.co/image/4dee9231481f08b390f07dfff35a3fd7b25e0727
1205,28,Marty Robbins,Don't Worry,1961,0Xi59sEw38vRvwleSAVqoo,country gospel,119210,https://i.scdn.co/image/55992126e2a79d6dad67c4e9508811ba19abc586
1206,29,Floyd Cramer,On The Rebound,1961,6DQ6mdEhxCgHPqfX1niZZK,christmas,6881,https://i.scdn.co/image/8d02664448c5b8d6ede597cd772f33be4f9afbdc
1207,30,Steve Lawrence,Portrait Op My Love,1961,271pvVqDFiREx6PqzwOX8p,adult standards,11730,https://i.scdn.co/image/3243b8adc66c3fcdbf6007a3151a6e63c8dd41f8
1208,31,Gary,Quarter To Three,1961,37W8SKV5Vc8lcGtdyWCA5m,contemporary country,424987,https://i.scdn.co/image/a195fd521597dd76c8a0318bebe98a6ca46d6594
1209,32,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961,3OmuR7XFXBig8yLeMSm9mU,doo-wop,1581,https://i.scdn.co/image/7bae4d13878d05aca7d035814d3f4ed2c35ea818
1210,33,Neil Sedaka,Calendar Girl,1961,5N6GwJzOcOY5kv8p0NjhYL,adult standards,126130,https://i.scdn.co/image/131c254129758c4951b09c4ffc07e5c09a7dcbec
1211,34,Chris Kenner,I Like It Like That,1961,3mCIMoeTyKjHlgNv7wFZYI,louisiana blues,1116,https://i.scdn.co/image/4b0a8bbf4ed378df7260f292576179f09db05fcd
1212,35,Jorgen Ingmann,Apache,1961,2mBHooYuyPrDI0JukWjS9f,unassigned,351,https://i.scdn.co/image/5ca3fe2d29f2578e11b0ea435542d5d1cdbc101b
1213,36,Linda Scott,Don't Bet Money Honey,1961,7KjuI3MbOTaBH29yju4Lr4,brill building pop,2046,https://i.scdn.co/image/59faa8a09e0d0b57e801a75bf87d6d19798131bf
1214,37,Johnny Tillotson,Without You,1961,36msvw9B10rxW90NSQ2794,adult standards,19558,https://i.scdn.co/image/060a48a3363d5a0b722ba0b706059d719b031062
1215,38,Ferlin Husky,Wings Of A Dove,1961,0szj7Sxtyluyjc2Arj0njB,country gospel,17237,https://i.scdn.co/image/fa71758193ab20bf6af8a6466b2564e811376ebe
1216,39,Elvis Presley,Little Sister,1961,43ZHCT0cAZBISjO8DG9PnE,christmas,2346316,https://i.scdn.co/image/160c941240375cecbdebfe61033e59783c5172ab
1217,40,Marcels,Blue Moon,1961,1JQYskbOoudT9cylam24a3,brill building pop,14052,https://i.scdn.co/image/a5544228b0ec1a6346c23c8ea227c72ee22a39a8
1218,41,Shep and The Limelites,Daddy's Home,1961,3xaiq6cHhYX5xclwRkT6Jf,unassigned,507,https://i.scdn.co/image/b583242a7fd200a2445e20606a8c1ee16bbee2ba
1219,42,Troy Shondell,This Time,1961,4R3U54HaBxqbw1ey5lMcXQ,unassigned,291,https://i.scdn.co/image/9243a66f19c4095a6daad095271d012bd1d835cf
1220,43,"Clarence ""Frogman"" Henry",I Don't Know Why But I Do,1961,3EYYw0bxDMBYfLoBehpsNf,louisiana blues,5497,https://i.scdn.co/image/63c76b02827d6bf5ccb76151af8568a3b10ee1c4
1221,44,Kokomo,Asia Minor,1961,1kSOv0QaraiHwnDs5ld2kr,blues,1553,https://i.scdn.co/image/3c8adf3619af23502ae08b3b7f19ec5765c25eb1
1222,45,Faron Young,Hello Walls,1961,6uvq6FeVsmhOWfJHxVNeBL,country gospel,27735,https://i.scdn.co/image/0c465d4d4c50eca0e5f3e56150de84b6889aa0d9
1223,46,Dion,Runaround Sue,1961,4S9EykWXhStSc15wEx8QFK,canadian pop,1477245,https://i.scdn.co/image/77215e7613ba135d71ead7c51cfd729fe41e0f03
1224,47,Arthur Lyman,Yellow Bird,1961,4UAjW7ABQfMm5F88xCtQln,easy listening,3497,https://i.scdn.co/image/f39ad91f159be9cc964abbd5cd4f713bbc238ff4
1225,48,Timi Yuro,Hurt,1961,2JyxVsEiD9HVRM7CtFaLCK,adult standards,8527,https://i.scdn.co/image/5c175639904ddc80fb84d47b3da0a521dd86222a
1226,49,Ricky Nelson,Hello Mary Lou,1961,73sSFVlM6pkweLXE8qw1OS,adult standards,110130,https://i.scdn.co/image/99ee90438c46d52c9007866740f5504834d20f99
1227,50,Capris,There's A Moon Out Tonight,1961,42SCX0E1m3YSaY2l3zHVJ4,doo-wop,5695,https://i.scdn.co/image/33ed893500d07ddf0f04e490f4187d90a6ab301d
1228,51,Elvis Presley,Surrender,1961,43ZHCT0cAZBISjO8DG9PnE,christmas,2346316,https://i.scdn.co/image/160c941240375cecbdebfe61033e59783c5172ab
1229,52,Paris Sisters,I Love How You Love Me,1961,0SDMI2Gkjubw3ol5p5fKtX,brill building pop,1867,https://i.scdn.co/image/30af5e3aea3498ac4c21ec2887c806aad6e8065a
1230,53,Lee Dorsey,Ya Ya,1961,0En4EEcDMJ5kaUCf1aZ9js,blues,15810,https://i.scdn.co/image/83993096cd152dbfec3804c3411ec8b98100f3e4
1231,54,Gary,School Is Out,1961,37W8SKV5Vc8lcGtdyWCA5m,contemporary country,424987,https://i.scdn.co/image/a195fd521597dd76c8a0318bebe98a6ca46d6594
1232,55,Bob Moore,Mexico,1961,3WHnBXhT1nrozhZnEpvDl8,unassigned,157,https://i.scdn.co/image/9510d6e5e8c84981000553b8142ce2443da39b69
1233,56,Ral Donner,You Don't Know What You've Got (Until You Lose It),1961,0j4ZVeMLH38uXEup39Hjvb,unassigned,825,https://i.scdn.co/image/f5391e6e970d3b087af29bdcb036de1db71b5dda
1234,57,Everly Brothers,Walk Right Back,1961,4ACplpEqD6JIVgKrafauzs,adult standards,210145,https://i.scdn.co/image/143996e5147b6767719a60163488e342b3fc2efe
1235,58,Lettermen,The Way You Look Tonight,1961,3lzlUccNrekC1oFPCjNIOX,adult standards,32907,https://i.scdn.co/image/8c4354077bf1d65a8394cb03d2ed97af27bf6917
1236,59,Pat Boone,Moody River,1961,7fmKtIgmxqNEKjATioVNsu,adult standards,55015,https://i.scdn.co/image/117d99b0ccb1a521772f918bf81ca3ff42b780b8
1237,60,Ray Charles,One Mint Julep,1961,1eYhYunlNJlDoQhtYBvPsi,adult standards,1241577,https://i.scdn.co/image/20c30e31f796ecb901ffb5acca6ca3d77fd5341b
1238,61,Adam Wade,Take Good Care Of Her,1961,1rBtwsSkGLKYGhL5yj98Wd,deep adult standards,158,https://i.scdn.co/image/d16586b14e924d034b005e74a2b3665e303bf847
1239,62,Carla Thomas,Gee Whiz (Look At His Eyes),1961,1QAGLCom3FHTTiuRFsjzOj,classic soul,22263,https://i.scdn.co/image/fa043c0acdf02c23c449e1f9659c4d8f510c283f
1240,63,Ben E. King,Stand By Me,1961,3plJVWt88EqjvtuB4ZDRV3,adult standards,205799,https://i.scdn.co/image/22c8cd28a71661b4dbd462e2d45b04b3e1b78572
1241,64,Ben E. King,Spanish Harlem,1961,3plJVWt88EqjvtuB4ZDRV3,adult standards,205799,https://i.scdn.co/image/22c8cd28a71661b4dbd462e2d45b04b3e1b78572
1242,65,Ike and Tina Turner,It's Gonna Work Out Fine,1961,1ZikppG9dPedbIgMfnfx8k,brill building pop,87072,https://i.scdn.co/image/7f561a11aa499002532aeeebac1d9c858676a9c3
1243,66,Echoes,Baby Blue,1961,3SDv9WEgYKj7phoe7iL207,environmental,1938,https://i.scdn.co/image/f35610a844250a2c1e1a0c42e6d746d889644ed7
